Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Gambia, The",GMB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.72098283991706,1.99017020931118,2.2895101853073,2.63857461911583,3.58405801260268,3.89387380444162,6.92497108826107,7.07440010539122,6.70842323781853,7.58358294004149,7.87899218084406,8.73314083987557,8.89571491305405,9.11441947156805,9.58177096011339,9.54426481930989,9.7971734695093,10.2001666666667,10.6431,11.3950916666667,12.7876250950944,15.6871583333333,19.917825,28.5305083333333,30.0300833333333,28.5754333333333,28.065725,24.8734333333333,22.19235,26.6443612042313,28.0119536626841,29.4615200601576,32.0771338886217,35.9575868341651,41.7329616505126,42.5062080923725,43.3725276731819,46.6089094621101,48.1517806379073,50.0624613684222
Costa Rica,CRI,"Population, total",SP.POP.TOTL,2414303,2481334,2550780,2622532,2696200,2771463,2847849,2924595,3001461,3079001,3158253,3239414,3321939,3405372,3489152,3572856,3656234,3739421,3821421,3901430,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,4831447001.16686,2623803095.78501,2606623554.56582,3146772630.77263,3660477856.22977,3919203960.39604,4418983870.96774,4532952047.15628,4614629898.40348,5251025767.47627,5711687786.75989,7196276092.461,8564041916.15275,9582868487.43217,10486787008.0926,11578594259.8675,11678424507.2457,12614602382.2012,13684255946.5765,14254866281.1537,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.6944,26884700344.8406,30801744881.9502,30745714312.9905,37658614803.848,42762613699.9524,47231655431.1389,50949668840.8692,52016408951.8225,56441920821.0806,58847019609.6549,60516044657.2254,62420164991.5374,64417670521.1842
Costa Rica,CRI,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,..,..,..,..,..,..,..,18.547900299178,64.7746866232908,19.7288531343743,10.4355721703213,15.6704773391234,21.2362437856018,15.0750668353899,14.6798929254666,11.938194929588,11.0294713554238,9.38971354904071,9.72093790592623,9.78688628402089,10.6482369899355,13.3503494295112,13.0133254437489,12.9843104895786,10.516785943754,11.423785789757,9.70133091343581,6.62884491215073,4.5932251422024,4.73363296842541,4.59021167268916,6.20692042541053,3.95521539612993,1.95876479850916,2.85888372957956,2.1924784282276,2.56679211775625
Costa Rica,CRI,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,8.02655557577261,14.7240687368007,11.8917885722364,25.6480588517985,13.0955432396454,15.1020896189986,12.6794727024662,8.20508554391737,9.83569458797388,7.34345619757619,9.40738029282575,6.10687176983559,6.62322065132399,5.98211820545788,4.98713586684997,5.77758818764975,5.24276899824966,4.61075139716333,4.13615382113478,4.09238797098121,4.54877827509093,4.57258155360041,4.26118576787911,5.01572773304652,5.09107919261846,4.34187346224105,3.5569640697595,3.43747889985066,5.20276173529366,4.21517281459458,2.73471787631406,3.92818295530929,4.9976015938022,6.69269664849975,6.94239730880462,5.11860527663857,5.0172641078674,5.15842948128065,5.78175473372262,5.19076318473142
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1737.33006174815,853.125317038275,782.830485457197,990.840279388762,1158.4804852392,1225.74936320584,1365.66676088517,1358.60856759477,1335.27277501462,1475.99845897632,1624.41976422799,2033.31968758187,2370.44141395833,2594.46577875469,2815.78585039105,3026.01508162305,2991.53819711665,3156.36379866054,3315.65122234711,3300.07820346734,3378.3685165429,3530.74908040428,3595.94616707873,3687.50522067414,3925.15487717826,4166.28360003297,4715.9182865125,5543.46339454358,6322.8274537716,6119.07288727839,7417.77752146118,8301.60488959396,9109.07152132419,9678.35110519984,9736.60978111357,10446.7590407173,10786.8880233463,10833.4465199305,11041.9189987741,11300.9351944679
Costa Rica,CRI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.56999999908333,21.7633333325,37.40666666575,41.0941666656667,44.532683333,50.45335,55.9858916666667,62.7762,75.8047333333333,81.5042083333333,91.5792916666667,122.432416666667,134.506333333333,142.171666666667,157.066666666667,179.729166666667,207.689166666667,232.5975,257.229166666667,285.684694833333,308.186666666667,328.870833333333,359.81752688172,398.662222222222,437.935,477.786741487455,511.301817940348,516.617390232975,526.23551344086,573.287956733231,525.829200716846,505.664239919355,502.901461981567,499.766832565284,538.317200279058,534.565769969278,544.73936722902,567.51309030978,576.97250124808,587.294595686124
Ecuador,ECU,"Population, total",SP.POP.TOTL,8135845,8352602,8572607,8795873,9022979,9254311,9490096,9729376,9969788,10210185,10449837,10686279,10914222,11132829,11347652,11561683,11775221,11987838,12199693,12412046,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,17881508242.4481,21810759353.7304,19929846396.4239,17152477036.5005,16912509091.855,17149088413.35,15314138472.3282,13945426859.4657,13051881851.4068,13890823704.5545,15239272611.5809,16988535267.6338,18094238119.0595,18938717358.6793,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000
Ecuador,ECU,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,..,..,..,..,..,..,..,5.81362920255557,6.88932038287776,4.30322942836226,2.64177088971913,15.0087193477126,5.22255322839003,1.49015481451174,7.00617304202626,-3.7826792354184,-26.2999928320854,-7.71406676367923,28.4142784567463,12.0852744211313,10.5930870401158,4.26184570076396,7.73271101107305,8.00091082171883,6.65050227293493,13.8473188994265,0.655537559193846,7.46507996966288,5.66265674725217,4.98525306124122,3.09504901286289,3.03070306911397,-2.49102075763332,1.90164677546638,1.94639824444045,1.81887357109554,0.495450027557041
